Location name,Amount spent (INR)
Andaman and Nicobar Islands,311
Andhra Pradesh,29498
Arunachal Pradesh,1692
Assam,13191
Bihar,47472
Chandigarh,2636
Chhattisgarh,53221
Dadra and Nagar Haveli,745
Delhi,43505
Goa,3487
Gujarat,48286
Haryana,36572
Himachal Pradesh,11476
Jammu and Kashmir,6918
Jharkhand,14728
Karnataka,57669
Kerala,10568
Lakshadweep,≤100
Madhya Pradesh,96593
Maharashtra,154728
Manipur,257
Meghalaya,1107
Mizoram,746
Nagaland,762
Odisha,13700
Puducherry,3729
Punjab region,46329
Rajasthan,119314
Sikkim,963
Tamil Nadu,95056
Telangana,49194
Tripura,1738
Unknown,107
Uttar Pradesh,96278
Uttarakhand,9437
West Bengal,31890
