Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
106700257795085,OMA Nacional,OMA Nacional,1026,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,544,1
100235755485045,Defesa Africana,These ads ran without a disclaimer,259,1
110537290867442,Art by Omar Hassib,These ads ran without a disclaimer,≤100,1
103789762224168,Xender emmanuel the  Internet Analyst,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,5
101210162871957,eusourodrigomefi,These ads ran without a disclaimer,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
305116906990763,Sahelia Solar Officiel,These ads ran without a disclaimer,≤100,1
104946538596646,Márcio Oliveira - Administração de Condomínios,These ads ran without a disclaimer,≤100,1
103389318864681,Mamãe da Ayla,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
