Location name,Amount spent (TWD)
Changhua,7081
Chiayi,1707
Hsinchu,6014
Hsinchu City,5219
Hualien,2630
Kaohsiung,23458
Keelung City,2711
Kinmen,483
Lienchiang,≤100
Miaoli,3365
Nantou,2613
New Taipei City,34507
Penghu,586
Pingtung,5114
Taichung,23161
Tainan,14230
Taipei,27874
Taitung,1347
Taoyuan City,20051
Unknown,2781
Yilan,2368
Yunlin,4019
