Location name,Amount spent (COP)
Amazonas,668
Antioquia,941560
Arauca,4706
Atlantico,256262
Bolivar,43358
Boyaca,21624
Caldas,25932
Caqueta,42254
Casanare,5612
Cauca,51572
Cesar,74963
Choco,10384
Cordoba,33542
Cundinamarca,217902
Distrito Especial,2890076
Guainia,563
Guaviare,941
Huila,52558
La Guajira,23014
Magdalena,31200
Meta,39957
Narino,64476
Norte de Santander,199753
Putumayo,32983
Quindio,33932
Risaralda,107735
San Andres y Providencia,986
Santander,119966
Sucre,16496
Tolima,25149
Unknown,≤100
Valle del Cauca,413009
Vaupes,199
Vichada,403
