Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,249
Cerro Largo Department,≤100
Colonia Department,109
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,≤100
Montevideo Department,8737
Paysandú Department,104
Rivera Department,862
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,1098
San José Department,≤100
Soriano Department,170
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
