Location name,Amount spent (AUD)
Australian Capital Territory,949
Jervis Bay Territory,≤100
New South Wales,18515
Norfolk Island,≤100
Northern Territory,599
Queensland,14363
South Australia,3902
Tasmania,3127
Unknown,≤100
Victoria,19864
Western Australia,7009
