Location name,Amount spent (PEN)
Amazonas Region,122
Ancash Region,506
Apurímac Region,172
Arequipa Region,651
Ayacucho Region,315
Cajamarca Region,484
Callao,204
Cusco Region,585
Huancavelica Region,≤100
Huánuco Region,261
Ica Region,481
Junín Region,513
La Libertad Region,774
Lambayeque Region,564
Lima Region,3593
Loreto Region,354
Madre de Dios Region,128
Moquegua Region,≤100
Pasco Region,122
Piura Region,873
Puno Region,655
San Martín Region,363
Tacna Region,175
Tumbes Region,133
Ucayali Region,273
Unknown,≤100
