Location name,Amount spent (CLP)
Antofagasta Region,397260
Araucanía Region,363355
Arica y Parinacota Region,81008
Atacama Region,112563
Aysén Region,44182
Bío Bío Region,777731
Coquimbo Region,323811
Los Lagos Region,272712
Los Ríos Region,137042
Magallanes y la Antártica Chilena Region,64319
Maule Region,372896
O'Higgins Region,303139
Santiago Metropolitan Region,4294855
Tarapacá Region,96072
Unknown,40727
Valparaíso Region,719587
