Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,333
Apurímac Region,125
Arequipa Region,494
Ayacucho Region,179
Cajamarca Region,339
Callao,163
Cusco Region,427
Huancavelica Region,≤100
Huánuco Region,188
Ica Region,358
Junín Region,319
La Libertad Region,582
Lambayeque Region,401
Lima Region,2948
Loreto Region,262
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,565
Puno Region,518
San Martín Region,303
Tacna Region,155
Tumbes Region,≤100
Ucayali Region,187
Unknown,≤100
