Location name,Amount spent (PLN)
Greater Poland Voivodeship,4347
Kuyavian-Pomeranian Voivodeship,2289
Lesser Poland Voivodeship,3820
Lower Silesian Voivodeship,7159
Lublin Voivodeship,1932
Lubusz Voivodeship,1366
Masovian Voivodeship,8697
Opole Voivodeship,869
Podkarpackie Voivodeship,1609
Podlaskie Voivodeship,916
Pomeranian Voivodeship,2678
Silesian Voivodeship,5291
Unknown,≤100
Warmian-Masurian Voivodeship,1347
West Pomeranian Voivodeship,2101
Łódź Voivodeship,4093
Świętokrzyskie Voivodeship,1141
