Location name,Amount spent (EUR)
Alsace,1094
Aquitaine,1743
Auvergne,542
Basse-Normandie,626
Bourgogne,702
Bretagne,1671
Centre,1153
Champagne-Ardenne,498
Corse,196
Franche-Comté,467
French Guiana,≤100
Guadeloupe,≤100
Haute-Normandie,911
Languedoc-Roussillon,1619
Limousin,284
Lorraine,1058
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1455
New Caledonia,≤100
Nord-Pas-de-Calais,1845
Pays de la Loire,1819
Picardie,747
Poitou-Charentes,767
Provence-Alpes-Côte d'Azur,3255
Reunion Island,≤100
Rhône-Alpes,3947
Unknown,≤100
Île-de-France,8516
