Location name,Amount spent (NZD)
Auckland Region,1360
Bay of Plenty Region,238
Canterbury,437
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,130
Manawatu-Wanganui,227
Marlborough Region,≤100
Nelson Province,≤100
Niue,≤100
Northland Region,135
Otago,212
Southland,≤100
Taranaki,≤100
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,358
Wellington Region,323
West Coast,≤100
