Location name,Amount spent (IDR)
Aceh,1112145
Bali,1731257
Bangka–Belitung Islands,311166
Banten,2574469
Bengkulu,582998
Central Java,7264455
Central Kalimantan,570071
Central Sulawesi,690612
East Java,9027031
East Kalimantan,1232293
East Nusa Tenggara,1953981
Gorontalo,310444
Jakarta,4142421
Jambi,678221
Lampung,1812581
Maluku,623885
North Kalimantan,189341
North Maluku,267041
North Sulawesi,1567501
North Sumatra,4800163
Papua (province),617936
Riau,2104666
Riau Islands Province,743819
South Kalimantan,623733
South Sulawesi,1726931
South Sumatra,2413288
Southeast Sulawesi,498938
Special Region of Yogyakarta,1280447
Unknown,3258
West Java,8895278
West Kalimantan,1056271
West Nusa Tenggara,890519
West Papua,280426
West Sulawesi,293065
West Sumatra,877774
