Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
108032181861181,Suno News HD,Suno News HD,14574,1
594606007235747,Abdul Aleem Khan,Abdul Aleem Khan,10042,1
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,7362,14
245084059947163,فخرے دیپال پور,فخرے دیپال پور,5838,12
102384149455341,PMLN Lahore Official,PMLN Lahore Official,5522,7
112689834835163,Ahmed Raza,Ahmed Raza,2974,3
109493084543028,Four Corners with Tarar,NEXT TV,2821,1
107703715013954,JTR Media House,JTR Media House,2670,1
2167817683483103,Kashif Ansari,Bss-Digital,2596,1
101080725159933,Allama Shabbir Hasan Maisami,Allama Shabbir Hasan Maisami,2100,9
103290225671883,Blue Properties.com,Blue Properties.com,2083,1
347978062231387,Mustafa Nawaz Khokhar Offical,Mustafa Nawaz Khokhar Offical,1902,1
101206152972905,Voice of PP 60,Voice of PP 60,1653,1
109771132134070,کتابوں کی بستی,Zauq E Adab,1562,4
111791888503468,Hafiz Shahid Ghug,Hafiz Shahid Ghug,1556,1
815201125482985,Jinnah’s Pakistan,These ads ran without a disclaimer,1428,1
1984101831869501,Shah Nawaz PTI,Shah Nawaz PTI,1368,3
711613789653734,Yateer,Yateer,1299,1
1848843992016589,Bhatti Book Centre,These ads ran without a disclaimer,1142,1
412740818918534,Rana Mubashir,Rana Mubashir,1059,1
105690462092880,MM News,M M DIGITAL (PRIVATE) LIMITED,1033,1
109120380422173,Rana Sajjad,Rana Sajjad,1005,1
117570394575101,Rai Waqas Aslam Kharal,Rai Waqas Aslam Kharal,1000,4
640801849421593,Aimal Wali Khan,Aimal Wali Khan,987,1
779600708730433,ART VIEW,These ads ran without a disclaimer,933,1
107468582412703,galacticnewssatire,These ads ran without a disclaimer,857,1
100443493134917,zamzam,These ads ran without a disclaimer,819,1
104314102703209,Rana Arif Iqbal Harnah,Rana Arif Iqbal Harnah,616,2
176104589110851,IEEE,These ads ran without a disclaimer,571,1
106945961806156,Bookstore.pk,These ads ran without a disclaimer,534,1
105376492571743,Jamaat-e-Islami Peshawar,Jamaat-e-Islami Peshawar,530,2
112315181865961,Tecno Motorcycle Parts,These ads ran without a disclaimer,526,1
589165787911608,Omar Ayub Khan,These ads ran without a disclaimer,520,1
100625866191612,Talented Careers,Talented Careers,517,1
108091784319799,Khyber Heights,These ads ran without a disclaimer,486,1
1597489657169842,Mir Kabeer Ahmed,Mir Kabeer Ahmed,479,2
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,451,2
104014189450468,Visa apply,These ads ran without a disclaimer,435,1
106429308893380,One Nation,One Nation,420,2
124807613864633,پاکستان مرکزی مسلم لیگ پی پی152,پاکستان مرکزی مسلم لیگ پی پی152,337,3
420026288429590,Balochistan Today,Balochistan Today,329,1
118693631272258,عوامی نیشنل پارٹی اسلام آباد,Awami National Party Islamabad,327,1
263055743739876,Pressco Entertainment,Pressco Entertainment,317,1
480689718991002,Raheel khokhar Wazirabadi,Raheel khokhar Wazirabadi,314,1
110243038305018,Rao Muhammad Hashim,Rao Muhammad Hashim,301,1
105818322318405,Karachi Ghazis,These ads ran without a disclaimer,292,1
435092019877794,Hazara Quami Mahaz Pakistan - HQM,Hazara Quami Mahaz Pakistan - HQM,265,1
106716292413968,Mark Justice,These ads ran without a disclaimer,217,1
931203933666198,Startup Pakistan,These ads ran without a disclaimer,202,1
450326391674911,Allianz,These ads ran without a disclaimer,183,1
173070036386587,Raja Tariq Murtaza,Raja Tariq Murtaza,178,1
2212487818997338,Fakhar Azam Wazir,Fakhar Azam Wazir,162,2
1424978037735150,Akhtar Hussain Jadoon,These ads ran without a disclaimer,159,1
101535282918838,EBookslux,EBookslux,143,1
931203933666198,Startup Pakistan,Startup Pakistan,121,1
102892118345791,Reading Time,These ads ran without a disclaimer,110,1
101827379644302,Mazhar Husain_Official,These ads ran without a disclaimer,≤100,1
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,≤100,2
347368175739948,Memon News,Memon News,≤100,1
101462391457654,Metacyberguru.com,These ads ran without a disclaimer,≤100,1
101793669214903,Lili Almeida,These ads ran without a disclaimer,≤100,1
335508309814429,Syed Abdul Rasheed,These ads ran without a disclaimer,≤100,1
105473397490741,Phạm Thị Nga,These ads ran without a disclaimer,≤100,1
448981518645687,Chaudhary Shahid Bashir,Chaudhary Shahid Bashir,≤100,1
111068872040824,Super Quiz,These ads ran without a disclaimer,≤100,2
114653305046141,Am-021,These ads ran without a disclaimer,≤100,1
115446641498421,chipnissell,These ads ran without a disclaimer,≤100,1
104800622712471,Am-018,These ads ran without a disclaimer,≤100,1
109226351931340,Jimena Gonzalez,These ads ran without a disclaimer,≤100,1
108003312388819,Am-022,These ads ran without a disclaimer,≤100,1
108021118836588,di_giovanni_michele,These ads ran without a disclaimer,≤100,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,1
