Location name,Amount spent (RON)
Alba County,392
Arad County,643
Argeș County,804
Bacău County,550
Bihor County,591
Bistrița-Năsăud County,354
Botoșani County,471
Brașov County,1083
Brăila County,314
Bucharest,2624
Buzău County,431
Caraș-Severin County,278
Cluj County,1135
Constanța County,841
Covasna County,250
Călărași County,236
Dolj County,715
Dâmbovița County,471
Galați County,567
Giurgiu County,203
Gorj County,413
Harghita County,392
Hunedoara County,520
Ialomița County,204
Iași County,1226
Ilfov County,440
Maramureș County,512
Mehedinți County,278
Mureș County,749
Neamț County,502
Olt County,351
Prahova County,998
Satu Mare County,379
Sibiu County,447
Suceava County,641
Sălaj County,332
Teleorman County,274
Timiș County,857
Tulcea County,182
Unknown,≤100
Vaslui County,328
Vrancea County,288
Vâlcea County,491
