Location name,Amount spent (ISK)
Capital Region,32536
Eastern Region,1721
Northeastern Region,4069
Northwestern Region,732
Southern Peninsula,3648
Southern Region,13013
Unknown,≤100
Western Region,849
Westfjords,698
