Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,199
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,441
Montevideo Department,876
Paysandú Department,1993
Rivera Department,576
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,131
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
