Location name,Amount spent (SEK)
Blekinge County,4379
Dalarna County,8814
Gotland County,2031
Gävleborg County,9339
Halland County,8846
Jämtland County,4217
Jönköping County,10655
Kalmar County,6595
Kronoberg County,5293
Norrbotten County,7393
Skåne County,39639
Stockholm County,71146
Södermanland County,8836
Unknown,≤100
Uppsala County,12600
Värmland County,8211
Västerbotten County,8712
Västernorrland County,7225
Västmanland County,8253
Västra Götaland County,51636
Örebro County,9230
Östergötland County,12975
