Location name,Amount spent (CLP)
Antofagasta Region,133447
Araucanía Region,99583
Arica y Parinacota Region,32830
Atacama Region,26432
Aysén Region,14591
Bío Bío Region,262401
Coquimbo Region,127918
Los Lagos Region,98456
Los Ríos Region,46598
Magallanes y la Antártica Chilena Region,19354
Maule Region,108508
O'Higgins Region,108170
Santiago Metropolitan Region,880980
Tarapacá Region,38762
Unknown,133
Valparaíso Region,194443
