Location name,Amount spent (IDR)
Aceh,644748
Bali,2045383
Bangka–Belitung Islands,264124
Banten,3071068
Bengkulu,573186
Central Java,10968290
Central Kalimantan,487213
Central Sulawesi,565926
East Java,10022087
East Kalimantan,995765
East Nusa Tenggara,1362885
Gorontalo,477238
Jakarta,5770969
Jambi,780939
Lampung,2549748
Maluku,352030
North Kalimantan,154435
North Maluku,297470
North Sulawesi,2346321
North Sumatra,5613293
Papua (province),595010
Riau,2367071
Riau Islands Province,758899
South Kalimantan,470968
South Sulawesi,2508920
South Sumatra,1918668
Southeast Sulawesi,765394
Special Region of Yogyakarta,1511465
Unknown,1798
West Java,9715112
West Kalimantan,1271641
West Nusa Tenggara,2184603
West Papua,230263
West Sulawesi,342052
West Sumatra,1160134
