Location name,Amount spent (NOK)
Akershus,5029
Aust-Agder,951
Buskerud,2105
Finnmark,837
Hedmark,1801
Hordaland,5079
Møre og Romsdal,2356
Nord-Trøndelag,1390
Nordland,2373
Oppland,1681
Oslo,15574
Rogaland,3966
Sogn og Fjordane,996
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,4592
Telemark,1424
Troms,2033
Unknown,≤100
Vest-Agder,1662
Vestfold,1777
Østfold,2458
