Location name,Amount spent (PLN)
Greater Poland Voivodeship,6731
Kuyavian-Pomeranian Voivodeship,3521
Lesser Poland Voivodeship,5724
Lower Silesian Voivodeship,4757
Lublin Voivodeship,2816
Lubusz Voivodeship,2506
Masovian Voivodeship,10369
Opole Voivodeship,1393
Podkarpackie Voivodeship,3099
Podlaskie Voivodeship,1571
Pomeranian Voivodeship,4887
Silesian Voivodeship,7240
Unknown,≤100
Warmian-Masurian Voivodeship,2254
West Pomeranian Voivodeship,2850
Łódź Voivodeship,4276
Świętokrzyskie Voivodeship,1578
