Location name,Amount spent (AUD)
Australian Capital Territory,2440
Jervis Bay Territory,≤100
New South Wales,22974
Northern Territory,640
Queensland,18561
South Australia,5810
Tasmania,2691
Unknown,≤100
Victoria,22244
Western Australia,8787
