Location name,Amount spent (PYG)
Alto Paraguay Department,155970
Alto Paraná Department,914326
Amambay Department,56791
Asunción,544344
Boquerón department,65370
Caaguazú Department,370221
Caazapá Department,71206
Canindeyú Department,83942
Central Department,1126968
Concepción Department (Paraguay),78341
Cordillera Department,129764
Guairá Department,132622
Itapúa Department,228667
Misiones Department,100916
Paraguarí Department,83068
Presidente Hayes Department,38396
San Pedro Department,106956
Unknown,≤100
Ñeembucú Department,165797
