Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
737169626371453,Stundin,Stundin,39296,7
314036327204,VR,VR,32889,14
74969168478,Sjálfstæðisflokkurinn í Hafnarfirði,Sjálfstæðisflokkurinn í Hafnarfirði,9255,2
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,6728,1
573559522797177,Flokkur fólksins,Flokkur Fólksins,5397,2
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,2381,2
522453057954919,Andrés Ingi á þingi,Andrés Ingi,2230,1
105818888034867,Ingibjörg Isaksen,Ingibjörg Isaksen,1391,1
1011307815614890,Ríkislögreglustjóri,Ríkislögreglustjóri,1320,1
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,934,1
154893001218870,ADHD samtökin,ADHD samtökin,884,2
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,741,1
148872571795434,Viðskiptaráð Íslands,Viðskiptaráð Íslands,731,1
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,710,10
106430331983242,Ragnhildur Alda M. Vilhjálmsdóttir,Ragnhildur Alda Vilhjálmsdóttir,583,1
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,538,1
674362009286406,Lifðu núna,Erna Indridadottir,384,1
137524753533383,Miðflokkurinn,Miðflokkurinn,147,1
100466846248633,AI Mage,These ads ran without a disclaimer,≤100,3
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
555755224474277,Josefinas,These ads ran without a disclaimer,≤100,1
