Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
101275116233207,haykel dkhil,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,4
106614631788380,Kitco Mining,These ads ran without a disclaimer,≤100,3
104067812304113,Genetic Systems,These ads ran without a disclaimer,≤100,2
109043997508578,الشيخ مصطفى الحاروني,These ads ran without a disclaimer,≤100,1
10750083165,The Africa Report,These ads ran without a disclaimer,≤100,1
675627625962585,Telintel,These ads ran without a disclaimer,≤100,1
198398326957053,Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,These ads ran without a disclaimer,≤100,1
339453226414466,Douglas Dubois Sebamala,These ads ran without a disclaimer,≤100,1
208338536239798,This Is Beijing,These ads ran without a disclaimer,≤100,2
771851256242082,Information Society Group,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,2
984203991753488,Research Outreach,These ads ran without a disclaimer,≤100,1
114373537920804,AlArabiya Seha - العربية صحة,These ads ran without a disclaimer,≤100,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,2
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
