Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
289308307824786,Munathara - مناظرة,These ads ran without a disclaimer,≤100,1
100986432813176,الطاهر بن منصور المرشح للانتخابات التشريعية 2022,إيهاب بن منصور,≤100,1
100820255934433,AWS Startups,These ads ran without a disclaimer,≤100,2
142675062468228,عصام شعبان Essam Shaban,These ads ran without a disclaimer,≤100,1
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100,1
328583104259736,PMC Telugu,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
227393274851550,الإعلام الحر - Free Media,These ads ran without a disclaimer,≤100,3
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,1
105741532048451,Fluffy Worldwide,These ads ran without a disclaimer,≤100,2
104015742220554,Mimic,These ads ran without a disclaimer,≤100,1
115637490346169,Djecko official جيكو الفرنسيسو,These ads ran without a disclaimer,≤100,1
121307931254043,Econlib,These ads ran without a disclaimer,≤100,1
108860542085320,Travel Abroad Made Easy,These ads ran without a disclaimer,≤100,1
