Location name,Amount spent (CLP)
Antofagasta Region,77861
Araucanía Region,104349
Arica y Parinacota Region,38920
Atacama Region,26864
Aysén Region,22582
Bío Bío Region,229887
Coquimbo Region,95192
Los Lagos Region,77413
Los Ríos Region,41956
Magallanes y la Antártica Chilena Region,22126
Maule Region,121049
O'Higgins Region,79578
Santiago Metropolitan Region,848946
Tarapacá Region,44684
Unknown,236
Valparaíso Region,209211
