Page ID,Page name,Disclaimer,Amount spent (SLL),Number of ads in Library
331095246920291,Sylvia Olayinka Blyden,Blyden Sylvia Olayinka,461965,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,22087,2
195799657105195,SEGi University & Colleges,These ads ran without a disclaimer,1618,1
129012103887386,The Online Library of Liberty,These ads ran without a disclaimer,≤100,1
331095246920291,Sylvia Olayinka Blyden,These ads ran without a disclaimer,≤100,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,1
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100,2
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,1
106262850889006,Majestic Inner Mongolia,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
