Location name,Amount spent (EUR)
Andalusia,3957
Aragón,485
Balearic Islands,906
Cantabria,220
Castilla y Leon,689
Castilla-La Mancha,607
Cataluña,4483
Comunidad Valenciana,2596
Comunidad de Madrid,3077
Extremadura,530
Galicia,998
Islas Canarias,2197
La Rioja,112
Navarra,313
País Vasco,1602
Principality of Asturias,482
Region of Murcia,573
Unknown,≤100
