Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
197286593999,VOA Português,These ads ran without a disclaimer,1538,1
103535548573473,MS Comércio,MS Comércio,1231,1
106337954500034,Bossladyandman,These ads ran without a disclaimer,544,1
107801918890922,Masfamu Angola,Masfamu Angola,513,1
142682279138433,Gaspar Tchanja K.Chingando,Gaspar Tchanja K.Chingando,513,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,424,2
102327646098420,Crisóstomo Ñgala,These ads ran without a disclaimer,196,1
114247604036354,Инфограф,These ads ran without a disclaimer,≤100,1
113850851219092,China Chat,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,1
469201610080869,Binance,These ads ran without a disclaimer,≤100,1
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
145752338944033,Air China,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
105501525214110,NFL Africa,These ads ran without a disclaimer,≤100,1
123546032572,Eppendorf Group,These ads ran without a disclaimer,≤100,1
