Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
1428873024044736,المدن - almodon,المدن - almodon‎,209091,21
68793499001,UNICEF,UNICEF with Facebook Ad Credits,119181,8
1438703606372190,Elham Said Freiha,Elham Freiha,113636,1
141039382740595,National Commission For Lebanese Women NCLW,National Commission For Lebanese Women NCLW,91091,6
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,71212,6
106197498149118,لبنان الكبير,Grand Lebanon,62121,14
102023711572671,أساس ميديا -  Asas Media,asasmedia,62121,18
101241044906111,هنا لبنان,هنا لبنان,56061,15
323356544336,KAFA (enough) Violence & Exploitation,KAFA (enough) Violence & Exploitation,31818,2
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,24242,9
466221740108607,May Chidiac Foundation - Media Institute,May Chidiac,23015,1
107266890756055,Nicolas Chikhani Finance,Nicolas Chikhani Finance,16667,1
110470091436602,Ici Beyrouth,Ici beyrouth,16394,4
960087244008629,MASAR,Masar,15152,1
107698404702208,Alkalima,Alkalima Onlime,10606,2
129660230432028,Dr. Toufic Hindi,Toufic Hindi,8364,2
103064288692603,Le Courrier Du Cedre,Marwan Rashid,7576,2
1031517763602384,Municipality of Kartaba - بلدية قرطبا,Municipality of Kartaba - بلدية قرطبا,7576,1
128417954019381,Al-Moltaka,Melhem Boustany,7576,2
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,7364,4
2351186658355640,Lebanon And The World - لبنان والعالم,Lebanon And The World - لبنان والعالم,4591,1
2509759842418472,LebTalks,Lebtalks,4545,1
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,3636,1
108728968627122,Beirut 24 Podcast,Beirut 24 Podcast,3030,2
137195823051820,Maharat Foundation,Maharat Foundation,333,1
104252028606448,صوت بنت جبيل,صوت بنت جبيل,106,1
303624683019094,HACEY's Health Initiative,These ads ran without a disclaimer,≤100,1
169687486427698,Jentezen Franklin,These ads ran without a disclaimer,≤100,1
123279176118,DHgate,These ads ran without a disclaimer,≤100,1
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,4
303651683481268,Independent Arabia,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,1
101474672367263,YouthxYouth,These ads ran without a disclaimer,≤100,3
1164694603562682,FastTony.es,These ads ran without a disclaimer,≤100,1
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100,2
1509413712605916,ICAO - International Civil Aviation Organization,These ads ran without a disclaimer,≤100,1
1881543645439590,Tech It Out with Yang Zhao,These ads ran without a disclaimer,≤100,4
1640843592827570,Embodied Philosophy,These ads ran without a disclaimer,≤100,2
