Location name,Amount spent (TWD)
Changhua,5705
Chiayi,1294
Hsinchu,2882
Hsinchu City,5283
Hualien,2471
Kaohsiung,22158
Keelung City,2520
Kinmen,350
Lienchiang,≤100
Miaoli,2784
Nantou,2416
New Taipei City,34177
Penghu,459
Pingtung,4864
Taichung,24430
Tainan,13234
Taipei,28384
Taitung,1661
Taoyuan City,19897
Unknown,2765
Yilan,2382
Yunlin,3828
