Location name,Amount spent (MXN)
Aguascalientes,6549
Baja California,37779
Baja California Sur,8254
Campeche,13051
Chiapas,20168
Chihuahua,32217
Coahuila de Zaragoza,27122
Colima,7528
Distrito Federal,181610
Durango,5666
Guanajuato,36194
Guerrero,11407
Hidalgo,7467
Jalisco,76902
Michoacán de Ocampo,32987
Morelos,21758
Nayarit,4075
Nuevo León,130681
Oaxaca,30785
Puebla,43250
Querétaro Arteaga,22370
Quintana Roo,60573
San Luis Potosi,19049
Sinaloa,11784
Sonora,22289
State of Mexico,83622
Tabasco,11326
Tamaulipas,23209
Tlaxcala,4561
Unknown,≤100
Veracruz,35029
Yucatán,27410
Zacatecas,6719
