Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
703368406666619,Vox Populi HN,Vox Populi HN,2048,1
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,1024,1
114601521910,Jorge Aldana,Jorge  Aldana,836,4
110882925332549,Yani Rosenthal,Yani Benjamin Rosenthal Hidalgo,560,2
1392592317738074,Jorge Cálix,Jorge Cálix,443,5
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),250,2
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,172,1
109459948457740,Gustavo Caceres Diputado,Gustavo Alberto Caceres Banegas,121,1
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100,1
106326665675559,Star Gather,These ads ran without a disclaimer,≤100,1
158158757637896,Alianza Paz y Justicia,Alianza Paz y Justicia,≤100,1
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,2
108091988358295,Travels All Abroad,These ads ran without a disclaimer,≤100,2
