Location name,Amount spent (IDR)
Aceh,676733
Bali,1825478
Bangka–Belitung Islands,394467
Banten,2555216
Bengkulu,600530
Central Java,9137472
Central Kalimantan,758138
Central Sulawesi,931076
East Java,14145471
East Kalimantan,1464431
East Nusa Tenggara,1670011
Gorontalo,658795
Jakarta,4643603
Jambi,908867
Lampung,1783894
Maluku,466698
North Kalimantan,209757
North Maluku,387776
North Sulawesi,1794974
North Sumatra,4635185
Papua (province),860157
Riau,2032164
Riau Islands Province,786041
South Kalimantan,761678
South Sulawesi,1956270
South Sumatra,2037200
Southeast Sulawesi,666565
Special Region of Yogyakarta,1166566
Unknown,1952
West Java,10349658
West Kalimantan,1258117
West Nusa Tenggara,1563572
West Papua,354950
West Sulawesi,366829
West Sumatra,987293
