Location name,Amount spent (PYG)
Alto Paraguay Department,160968
Alto Paraná Department,7072006
Amambay Department,728525
Asunción,5069283
Boquerón department,295814
Caaguazú Department,3258916
Caazapá Department,602374
Canindeyú Department,764758
Central Department,13277577
Concepción Department (Paraguay),812449
Cordillera Department,1367416
Guairá Department,972382
Itapúa Department,2610128
Misiones Department,716745
Paraguarí Department,792952
Presidente Hayes Department,585448
San Pedro Department,1443323
Unknown,449
Ñeembucú Department,540670
