Location name,Amount spent (PLN)
Greater Poland Voivodeship,3636
Kuyavian-Pomeranian Voivodeship,2069
Lesser Poland Voivodeship,3212
Lower Silesian Voivodeship,2626
Lublin Voivodeship,1514
Lubusz Voivodeship,783
Masovian Voivodeship,6116
Opole Voivodeship,790
Podkarpackie Voivodeship,1316
Podlaskie Voivodeship,687
Pomeranian Voivodeship,2124
Silesian Voivodeship,3739
Unknown,≤100
Warmian-Masurian Voivodeship,955
West Pomeranian Voivodeship,1431
Łódź Voivodeship,2618
Świętokrzyskie Voivodeship,822
