Location name,Amount spent (AUD)
Australian Capital Territory,1710
Jervis Bay Territory,≤100
New South Wales,23997
Norfolk Island,≤100
Northern Territory,774
Queensland,17711
South Australia,5335
Tasmania,2440
Unknown,≤100
Victoria,21883
Western Australia,9444
