Location name,Amount spent (PLN)
Greater Poland Voivodeship,4892
Kuyavian-Pomeranian Voivodeship,3044
Lesser Poland Voivodeship,4216
Lower Silesian Voivodeship,3802
Lublin Voivodeship,2266
Lubusz Voivodeship,1262
Masovian Voivodeship,10764
Opole Voivodeship,1151
Podkarpackie Voivodeship,2090
Podlaskie Voivodeship,1081
Pomeranian Voivodeship,3514
Silesian Voivodeship,5159
Unknown,≤100
Warmian-Masurian Voivodeship,1608
West Pomeranian Voivodeship,2478
Łódź Voivodeship,4289
Świętokrzyskie Voivodeship,1244
