Location name,Amount spent (GTQ)
Alta Verapaz Department,243
Baja Verapaz Department,≤100
Chimaltenango Department,191
Chiquimula Department,143
El Progreso Department,≤100
Escuintla Department,302
Guatemala Department,12910
Huehuetenango Department,316
Izabal Department,241
Jalapa Department,101
Jutiapa Department,174
Petén Department,178
Quetzaltenango Department,391
Quiché Department,225
Retalhuleu Department,119
Sacatepéquez Department,164
San Marcos Department,767
Santa Rosa Department,119
Sololá Department,150
Suchitepéquez Department,178
Totonicapán Department,115
Unknown,≤100
Zacapa Department,106
