Location name,Amount spent (EUR)
Alsace,656
Aquitaine,1509
Auvergne,422
Basse-Normandie,457
Bourgogne,514
Bretagne,1136
Centre,890
Champagne-Ardenne,461
Corse,165
Franche-Comté,345
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,664
Languedoc-Roussillon,1549
Limousin,295
Lorraine,834
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1228
New Caledonia,≤100
Nord-Pas-de-Calais,1343
Pays de la Loire,1140
Picardie,649
Poitou-Charentes,789
Provence-Alpes-Côte d'Azur,2595
Reunion Island,≤100
Rhône-Alpes,2682
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7387
