Location name,Amount spent (INR)
Andaman and Nicobar Islands,382
Andhra Pradesh,45103
Arunachal Pradesh,2787
Assam,57136
Bihar,205241
Chandigarh,1791
Chhattisgarh,91895
Dadra and Nagar Haveli,2249
Delhi,57116
Goa,2367
Gujarat,83041
Haryana,71795
Himachal Pradesh,20685
Jammu and Kashmir,23709
Jharkhand,41940
Karnataka,105429
Kerala,22334
Lakshadweep,≤100
Madhya Pradesh,81895
Maharashtra,160324
Manipur,4468
Meghalaya,57861
Mizoram,1147
Nagaland,2044
Odisha,32942
Puducherry,2752
Punjab region,47191
Rajasthan,234021
Sikkim,1857
Tamil Nadu,57615
Telangana,30584
Tripura,11945
Unknown,≤100
Uttar Pradesh,180529
Uttarakhand,24938
West Bengal,113116
