Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,39293,228
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),37105,41
693907914395620,良杯製所 Oolab,良杯製所 Oolab,14276,8
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,9391,2
115430274859303,田長沛,田長沛,7577,7
106801464127093,目目非營利 MUVE NPO,目目非營利,7296,21
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,5418,17
343251481955,靖娟兒童安全文教基金會-守護寶貝每一天,靖娟兒童安全文教基金會-守護寶貝每一天,5005,3
219315794887869,聯合報,聯合報股份有限公司,4579,36
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,4171,12
277223962685223,Nespresso.TWN,Nespresso.TWN,3542,12
291116504367985,張秀華粉絲團,張秀華粉絲團,3483,3
177161918975981,基督教芥菜種會,基督教芥菜種會,3080,20
246517878713911,劉家昌,勇勳沈,2869,1
852685611414333,財團法人中華民國證券暨期貨市場發展基金會,財團法人中華民國證券暨期貨市場發展基金會,2803,2
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,2418,13
113761234998842,温宗諭,博盛侯,2291,3
1212271885604995,社團法人愛的延續公益協會,社團法人愛的延續公益協會,2279,1
390569611008641,願景工程基金會 Vision Project,願景工程基金會,2087,43
113021403762187,法律協會-債務協商 更生 清算 -全台服務,傢宇 吳,2018,1
102764756435823,黃柏霖,柏霖黃,1890,3
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,1875,2
650500068416528,無國界醫生 / Médecins Sans Frontières (MSF),無國界醫生 / Médecins Sans Frontières (MSF),1802,4
211730475524462,大陸委員會,大陸委員會,1693,6
152479095435700,茶樹莊園 Tea Tree Garden,花仙子 Farcent,1632,2
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,1618,21
107561193936634,南投小鋼炮曾琮愷,歷軒郭,1562,3
1537741526464370,桃園市議長邱奕勝,奕勝 邱,1548,4
235679595900,民視新聞,民視新聞,1499,6
104624290080479,張育美,翊斌黃,1452,4
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,1447,5
456170574528072,蘇巧慧,蘇巧慧,1444,2
110985434861942,啟思民本基金會,啟思民本基金會,1416,3
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,1403,5
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,1297,14
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,1195,19
101176989480437,九槍 And Miles to Go Before I Sleep,九槍 And Miles to Go Before I Sleep,1182,6
107967864993250,SOGA STOP！,財團法人隆中向上教育基金會,1044,3
107478432346054,郭台銘+1,Kaiwun Lin,1016,11
2142074882525226,張智倫,張智倫,1000,1
158025223269,今周刊,今周刊,994,5
109181965386223,花蓮囝仔 李振瑋,馮茂智,980,1
122912938347467,歐陽霆,霆 歐陽,960,1
1855418728011324,鏡週刊,鏡週刊,954,8
327941870899267,元智大學 i Life,元智大學 i Life,896,2
191690867518507,江啟臣,江啟臣,874,4
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,853,2
436843193180529,Unipapa,Unipapa,835,18
106265361106594,海鼎離岸風電計畫 Formosa III,毛潔瑜,813,1
154631861234059,吳秉叡,吳秉叡,808,3
1649151078446134,卓冠廷,冠廷卓,771,22
324041984468908,立志中學,立志中學,746,2
1506514762998978,花王微笑心生活,These ads ran without a disclaimer,745,2
1025786357451330,"范雲  FAN, Yun","范雲  FAN, Yun",738,2
258660130833607,皮筋兒 Journey,Yi-shin Cheng,738,4
1743825042576235,楊文科,楊文科,697,2
791870507594526,利樂創新界,利樂創新界,673,17
215213505975,FUNDAY英語教育,These ads ran without a disclaimer,668,2
100216765069813,唐平榮 執行長的人生甘味廚房,唐平榮 執行長的人生甘味廚房,659,2
188358792124,聯經出版,聯經出版,651,4
148513668543221,地球公民基金會,地球公民基金會,650,7
267210596804238,啟德機械起重工程-股公司,鈺梅蔡,639,2
189061482332,張嘉郡,嘉郡張,631,1
109342485815974,屏東縣政府財稅局,元戎張,573,1
1601614166748301,未來Family,These ads ran without a disclaimer,571,3
773445392783613,嘉義多一點,嘉義多一點,570,1
105692292105892,黃士修,Shih-Hsiu Huang,565,1
174567875906128,Epson,台灣愛普生科技股份有限公司,565,4
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,565,5
449156429152075,麻吉理財顧問公司,黃詩凭,544,1
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,538,1
794188814045662,新業建設 Hsinyeh,新業建設股份有限公司,536,1
113115841660729,廖偉翔,偉翔廖,509,4
1787630811500182,臺中市政府交通局,臺中市政府交通局,504,1
1448047902111768,顏寬恒,顏寬恒,504,2
127628276929,天下雜誌,These ads ran without a disclaimer,489,1
481065478629613,The News Lens 關鍵評論網,The News Lens 關鍵評論網,484,4
110699089014688,三立新聞,三立新聞,478,1
101297638763256,識媒體,識媒體,458,6
112364983768638,司法院,司法院,455,1
108803285304242,秀策法律事務所,士閎沈,455,2
1234106229938484,台灣健康空氣行動聯盟,慧琳趙,453,3
189498744410455,Kashin,These ads ran without a disclaimer,449,1
175549807657,台達基金會,台達基金會,440,4
101576862144790,工程師看政治,玄超 黃,411,5
743100072477291,台中市議員何文海,文海 何,403,4
120869137965597,SEMI 國際半導體產業協會,SEMI 國際半導體產業協會,395,4
1587628301470657,林沛祥,沛祥林,390,1
101176989480437,九槍 And Miles to Go Before I Sleep,These ads ran without a disclaimer,383,2
569626243213799,生鮮時書,生鮮時書,347,5
441685342920785,張廖乃綸,張廖乃綸,336,4
221323424616286,吳祥輝 Brian Wu,吳祥輝,336,19
307448579410362,感染誌 Hivstory,感染誌 Hivstory,335,1
162701220453187,新北市議員 陳永福,陳韋任,331,2
106884252092730,恆好玩｜永續行動平台,恆好玩｜永續行動平台,328,3
105763467865696,台灣資訊環境研究中心 IORG,台灣資訊環境研究中心 IORG,322,1
101451132009651,許家睿 Hsu Chia-Jui,許家睿 Hsu Chia-Jui,319,3
112571907179969,玩霸教育,思揚 蘇,313,3
679518422104905,民視全球新聞,民視新聞,313,2
100269158455411,Wh偉鴻金融貸款中心,傢宇 吳,312,1
103141681121150,城市學,遠見雜誌,311,1
226660410787355,民視體育新聞,民視新聞,309,5
354149841356884,哈本咖啡 Happen Coffee,林奕丞,308,9
239512030682497,第一手星聞,民視新聞,308,3
1014522188609435,李明賢 -阿賢之聲,明賢 李,300,2
1629474157289221,小牛頓,小牛頓科學教育有限公司,300,2
317996258579415,黃家齊,黃家齊,295,2
262531920494874,財團法人金融消費評議中心,財團法人金融消費評議中心,293,1
382451845696704,新竹市議會,新竹市議會,292,1
103377904599065,E.政策網：約博打權,E.政策網：約博打權,291,3
159425621565,Inside 硬塞的網路趨勢觀察,The News Lens 關鍵評論網,278,2
120653918021517,中國人壽,These ads ran without a disclaimer,277,5
397602236982040,三立iNEWS,三立新聞,266,1
1539555259465968,陳賢蔚,賢蔚 陳,249,3
157825744293951,The Garden of Hope Foundation- International Affairs 勵馨基金會國際事務,The Garden of Hope Foundation- International Affairs 勵馨基金會國際事務,236,1
104013138750678,翁震州,震州 翁,236,2
102943834507641,立法委員 陳椒華,時代力量立委陳椒華,234,1
100900089572253,賤民賤解,賤民賤解,232,1
1636733309982216,黃明賢 屏東縣議員,沛旭 傅,229,1
108803285304242,秀策法律事務所,秀策法律事務所,226,1
155906881874882,涂權吉市議員,權吉涂,225,4
2199675410320212,台灣制憲基金會 TNC,台灣制憲基金會 TNC,223,2
103640919705348,綠色公民行動聯盟Green Citizens' Action Alliance,綠色公民行動聯盟Green Citizens' Action Alliance,218,1
213646928757562,梁為超,市議員梁為超粉絲團,216,2
116296548384351,許淑華Hsu Shu-Hua,許淑華Hsu Shu-Hua,213,2
1549881451947136,林筱淇,筱淇 林,212,2
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,210,1
111048064504149,珊騰天下 姜百珊律師,易宏謝,207,1
104478515128771,自忠學堂,Kaiwun Lin,206,9
129452013855801,RITE,RITE,206,1
109946254161907,Tommy 獨立理財顧問,詠程 許,203,1
2155864991308675,勞動黨 羅美文- 為了勞工一直在這裡,Juhsing Tsang,198,1
505048462850808,楊朝偉,楊朝偉,197,1
1693856497304590,竹山鎮長陳東睦,嘉珍許,195,1
230776738922933,顏蔚慈,琇雯顏,192,2
227597833442,鄭南榕基金會．紀念館,鄭南榕基金會．紀念館,182,1
100971679482122,2222-《未來選擇地》,2222,176,2
548843905255175,中衛產業行腳,中衛發展中心,173,1
105742975534267,吳明宜,吳明宜,163,8
100573838902360,SHES 環保衛生棉,SHES環保衛生棉,162,2
101643786051216,楊昌德 新竹縣議員,Maggie Chen,161,1
1621835121361449,陳超明-阿明哥粉絲團,超明 陳,156,1
180516279238465,桃園市立美術館 Taoyuan Museum of Fine Arts,桃園市立美術館 Taoyuan Museum of Fine Arts,156,4
810120492410745,全國教育產業總工會,全國教育產業總工會,152,1
121504021252255,台灣金融研訓院,台灣金融研訓院,149,1
101718182459153,天秤座戰士,Companionship Digital,147,6
1398002093793689,BNI 高屏區,BNI 高屏區,146,3
368820985964,台灣伴侶權益推動聯盟,台灣伴侶權益推動聯盟,146,1
111334712256714,勇媽阿惠 - 黃敏惠,勇媽阿惠 - 黃敏惠,144,1
111654304644525,藍青挺,凱勛 鄧,141,1
796994720374176,鳴人堂,鳴人堂,140,1
602353113208382,台灣法學基金會,財團法人台灣法學基金會,136,1
377977859223430,動物友善網,These ads ran without a disclaimer,135,1
103928791434157,裸裸實驗市 Zero Market,These ads ran without a disclaimer,132,1
1503745219913314,"孫大千Sun, Ta-Chien","孫大千Sun, Ta-Chien",130,1
593374924100942,經濟民主連合,社團法人經濟民主連合,129,1
128818803902,兩岸犇報,兩岸犇報,129,3
436202956432960,Technews 科技新報,Technews 科技新報,118,1
103919981024103,陳以信,Yuehmei Li,116,1
115255733188288,李伯利-台南市議員候選人,Po Li,116,1
110858134884421,楊仲傑 潭陽里里長,仲傑楊,113,2
100195379426027,愛德華先進科技 Edwards Technologies Limited,愛德華先進科技 Edwards Technologies Limited,110,2
378478695837780,李艷秋的新聞夜總會,吳昇原,108,1
598218730636680,彰化邱建富,邱建富,107,1
218229778615150,朱珍瑤,珍瑤朱,106,2
199046870903791,田雅芳,田雅芳,105,1
105229401587752,林延鳳,Lin Yen Feng,103,2
615486518635582,研之有物,These ads ran without a disclaimer,102,1
766579226778525,大米缸 - 永續關懷的糧倉,大米缸 - 永續關懷的糧倉,102,1
972132016144408,施佩妤《十年有妤．感恩有您》,施佩妤《十年有妤．感恩有您》,102,1
103032645529885,菱傳媒,菱傳媒,≤100,1
128176500184668,Motter Colleen,These ads ran without a disclaimer,≤100,1
137143073105957,愛秀團隊－林碧秀,碧秀 林,≤100,1
1775446756086191,Mật Ong Trúc Phương,These ads ran without a disclaimer,≤100,1
292249757967340,陳善慧【善於服務 • 慧做代誌】,高雄市議員陳善慧服務處,≤100,2
105961094120160,老師雞 何景榮,景榮 何,≤100,1
227521757837659,金城更新 許燕輝,許燕輝,≤100,1
546919432374583,台灣三井不動產－投資顧問部,緻霖高,≤100,1
689837094426996,邱靖雅-乘風破浪的姐姐,靖雅 邱,≤100,1
107163418997546,台灣民眾黨花蓮縣黨部-民眾挺民眾,台灣民眾黨花蓮縣黨部,≤100,1
362947561186301,何禮臺-新城鄉公所,紳旭 李,≤100,1
1645501069043806,科科性別,國立高雄師範大學,≤100,2
673035569401167,育田基金會 Mercyland,財團法人育田社會福利慈善基金會,≤100,2
100294842808587,ZwickRoell Taiwan Branch,These ads ran without a disclaimer,≤100,1
259430250825193,BSI Taiwan,BSI Taiwan,≤100,1
105385007788487,Easten Shopping,These ads ran without a disclaimer,≤100,1
195959880437203,新北市議員白珮茹,新北市議員白珮茹,≤100,1
107162861090654,法律協會-前置協商  更生 清算  免費諮詢,Yaya Lin,≤100,2
103921062032627,苗栗縣非都市土地再生能源發電案場巡監綠電巡守隊,振宏林,≤100,1
616773638384004,米菲多媒體,These ads ran without a disclaimer,≤100,3
109358201564879,反廢死Q&A,反廢死Q&A,≤100,1
108096904126871,數位女力聯盟WIDI,社團法人台灣數位女力聯盟,≤100,1
116806840188577,中華民國不動產經營管理協會,中華民國不動產經營管理協會,≤100,1
131795423172,徐欣瑩,徐欣瑩,≤100,1
195890640463420,台灣永續能源研究基金會 Taiwan Institute for Sustainable Energy (TAISE),財團法人台灣永續能源研究基金會,≤100,1
100423742875331,JHY 律師工作室,Zhong-Yue Yang,≤100,1
103201652475505,林口里孫維誠,孫維誠,≤100,1
117437684611270,桃園有議事・民進黨議會黨團,民主進步黨桃園市議會黨團,≤100,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,2
190684970959969,宜蘭綠色博覽會,堃廉崔,≤100,1
108465872157182,亞細亞精準數據,亞細亞精準數據,≤100,1
1565253993719446,Hahow 好學校,These ads ran without a disclaimer,≤100,1
521176024619313,花輪哥,傑齊 黃,≤100,5
457224350983681,人本教育基金會中部辦公室,These ads ran without a disclaimer,≤100,1
647774598986133,深聽嘉義-黃思婷議員,林政翰,≤100,1
102046048924214,Alpha plus - 人才加速器,These ads ran without a disclaimer,≤100,1
1600694340206781,桃園市非營利組織發展中心,桃園市非營利組織發展中心,≤100,32
103095574988587,海大媒體公關出版中心- NTOU MPRP,These ads ran without a disclaimer,≤100,1
306276709452272,文化部,文化部,≤100,2
397486643273,OB嚴選,These ads ran without a disclaimer,≤100,1
132794020089924,BACK TO BRITISH Tramy 崔咪,These ads ran without a disclaimer,≤100,1
122598727499710,Konsultan Keuangan,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
102723762108199,Tsikdem Communication,These ads ran without a disclaimer,≤100,1
873906889478742,精承顧問 Fides,These ads ran without a disclaimer,≤100,1
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,1
21474437688,Deloitte,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
748193915263885,羅廷瑋,大銘阮,≤100,3
107203148110541,Action Speaks Louder,These ads ran without a disclaimer,≤100,1
111096401719569,Colors of Life 色彩．人生,These ads ran without a disclaimer,≤100,1
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,3
110044847924423,Fully Delicious - Lifestyle,These ads ran without a disclaimer,≤100,1
100432812945779,algoresearch,These ads ran without a disclaimer,≤100,1
