Location name,Amount spent (IDR)
Aceh,1224991
Bali,1609638
Bangka–Belitung Islands,226677
Banten,1754842
Bengkulu,461430
Central Java,7442758
Central Kalimantan,420387
Central Sulawesi,1396212
East Java,4776686
East Kalimantan,791717
East Nusa Tenggara,1329089
Gorontalo,669900
Jakarta,4236818
Jambi,566574
Lampung,1414773
Maluku,520074
North Kalimantan,121075
North Maluku,255302
North Sulawesi,1011081
North Sumatra,3836848
Papua (province),524041
Riau,1520409
Riau Islands Province,476253
South Kalimantan,883794
South Sulawesi,1442378
South Sumatra,2136101
Southeast Sulawesi,1200923
Special Region of Yogyakarta,797195
Unknown,2649
West Java,8667404
West Kalimantan,1399862
West Nusa Tenggara,964746
West Papua,214910
West Sulawesi,225355
West Sumatra,816784
