Location name,Amount spent (RON)
Alba County,425
Arad County,527
Argeș County,771
Bacău County,784
Bihor County,697
Bistrița-Năsăud County,382
Botoșani County,466
Brașov County,790
Brăila County,353
Bucharest,3170
Buzău County,422
Caraș-Severin County,259
Cluj County,1142
Constanța County,848
Covasna County,389
Călărași County,315
Dolj County,693
Dâmbovița County,539
Galați County,544
Giurgiu County,294
Gorj County,672
Harghita County,870
Hunedoara County,427
Ialomița County,280
Iași County,891
Ilfov County,488
Maramureș County,722
Mehedinți County,236
Mureș County,883
Neamț County,570
Olt County,390
Prahova County,1389
Satu Mare County,452
Sibiu County,539
Suceava County,710
Sălaj County,309
Teleorman County,251
Timiș County,1206
Tulcea County,190
Unknown,≤100
Vaslui County,319
Vrancea County,394
Vâlcea County,440
