Location name,Amount spent (MYR)
Johor,537
Kedah,351
Kelantan,209
Kuala Lumpur,708
Labuan,≤100
Malacca,212
Negeri Sembilan,316
Pahang,208
Penang,321
Perak,358
Perlis,≤100
Putrajaya,≤100
Sabah,500
Sarawak,409
Selangor,2999
Terengganu,204
Unknown,≤100
