Location name,Amount spent (RON)
Alba County,548
Arad County,616
Argeș County,1064
Bacău County,794
Bihor County,994
Bistrița-Năsăud County,394
Botoșani County,576
Brașov County,1068
Brăila County,441
Bucharest,4153
Buzău County,789
Caraș-Severin County,400
Cluj County,1135
Constanța County,1260
Covasna County,254
Călărași County,422
Dolj County,900
Dâmbovița County,645
Galați County,761
Giurgiu County,284
Gorj County,693
Harghita County,533
Hunedoara County,578
Ialomița County,268
Iași County,1728
Ilfov County,593
Maramureș County,673
Mehedinți County,298
Mureș County,907
Neamț County,1101
Olt County,382
Prahova County,1198
Satu Mare County,441
Sibiu County,601
Suceava County,830
Sălaj County,319
Teleorman County,299
Timiș County,973
Tulcea County,276
Unknown,≤100
Vaslui County,494
Vrancea County,653
Vâlcea County,564
