Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,127
Cerro Largo Department,≤100
Colonia Department,572
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,1853
Montevideo Department,4581
Paysandú Department,4399
Rivera Department,191
Rocha Department,≤100
Río Negro Department,204
Salto Department,≤100
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
