Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,13743,113
187073013532,Partido VIVA,Partido Político Visión con Valores,731,4
1630952833827354,Armando Castillo,Armando  Damian Castillo Alvarado,396,2
196258110831945,Partido Valor,Partido Valor,237,3
106908785419555,Goberna Guatemala,Goberna,219,14
754661271544464,El Sol de Mixco,El Sol de Mixco,105,2
101405406148203,Valor Suchitepequez,Byron Estuardo Villatorio Liu,≤100,1
102762215788405,VOS.gt,VOS.gt,≤100,1
105847462372794,Estuviéramos Mejor,Estuvieramos Mejor,≤100,12
100990022892856,Movimiento Político WINAQ Totonicapán,Ricardo Mazariegos,≤100,2
119057720784594,El Búho,El Búho,≤100,1
454868334556847,Huawei Latinoamérica,These ads ran without a disclaimer,≤100,1
187461997935711,Unilever Careers,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
109386503839531,Juliana Andrade,These ads ran without a disclaimer,≤100,2
411973422963732,Twenty Daily,These ads ran without a disclaimer,≤100,1
212864082137,Mike Manning,These ads ran without a disclaimer,≤100,1
