Location name,Amount spent (ZAR)
Eastern Cape,923
Free State,839
Gauteng,4661
KwaZulu-Natal,1606
Limpopo,623
Mpumalanga,678
North West,570
Northern Cape,244
Unknown,≤100
Western Cape,6327
