Location name,Amount spent (CHF)
Aargau,1022
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,896
Basel-Landschaft,313
Bern,1623
Canton of Geneva,3062
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,894
Fribourg,682
Graubünden,306
Jura,143
Luzern,729
Neuchâtel,405
Schaffhausen,152
Schwyz,215
Solothurn,398
Thurgau,457
Ticino,597
Unknown,≤100
Uri,≤100
Valais,616
Vaud,1611
Zug,217
Zürich,4254
