Location name,Amount spent (TRY)
Adana Province,542
Adıyaman Province,≤100
Afyonkarahisar Province,103
Aksaray Province,183
Amasya Province,≤100
Ankara Province,918
Antalya Province,610
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,396
Ağrı Province,≤100
Balıkesir Province,2596
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,162
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,640
Denizli Province,217
Diyarbakır Province,130
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,435
Erzincan Province,135
Erzurum Province,≤100
Eskişehir Province,206
Gaziantep Province,310
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,577
Isparta Province,≤100
Istanbul Province,7754
Iğdır Province,≤100
Kahramanmaraş Province,161
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,211
Kilis Province,≤100
Kocaeli Province,351
Konya Province,324
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,492
Manisa Province,256
Mardin Province,≤100
Mersin Province,610
Muğla Province,208
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,126
Osmaniye Province,110
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,284
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,202
Tokat Province,≤100
Trabzon Province,118
Tunceli Province,1039
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,135
Çanakkale Province,841
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1189
Şanlıurfa Province,170
Şırnak Province,≤100
