Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,389
Apurímac Region,112
Arequipa Region,398
Ayacucho Region,210
Cajamarca Region,362
Callao,190
Cusco Region,448
Huancavelica Region,≤100
Huánuco Region,219
Ica Region,325
Junín Region,363
La Libertad Region,606
Lambayeque Region,456
Lima Region,2529
Loreto Region,270
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,591
Puno Region,406
San Martín Region,295
Tacna Region,149
Tumbes Region,≤100
Ucayali Region,195
Unknown,≤100
