Location name,Amount spent (SEK)
Blekinge County,4336
Dalarna County,7815
Gotland County,1793
Gävleborg County,8176
Halland County,8990
Jämtland County,3989
Jönköping County,9562
Kalmar County,5975
Kronoberg County,5853
Norrbotten County,7448
Skåne County,42889
Stockholm County,71621
Södermanland County,8145
Unknown,4393
Uppsala County,12569
Värmland County,7244
Västerbotten County,9570
Västernorrland County,6940
Västmanland County,7327
Västra Götaland County,50149
Örebro County,7889
Östergötland County,12061
