Location name,Amount spent (PEN)
Amazonas Region,128
Ancash Region,648
Apurímac Region,209
Arequipa Region,888
Ayacucho Region,364
Cajamarca Region,601
Callao,376
Cusco Region,699
Huancavelica Region,≤100
Huánuco Region,320
Ica Region,560
Junín Region,660
La Libertad Region,1081
Lambayeque Region,677
Lima Region,5614
Loreto Region,313
Madre de Dios Region,141
Moquegua Region,134
Pasco Region,108
Piura Region,960
Puno Region,717
San Martín Region,436
Tacna Region,254
Tumbes Region,140
Ucayali Region,307
Unknown,≤100
