Location name,Amount spent (VND)
An Giang Province,115220
Bà Rịa–Vũng Tàu Province,152230
Bình Dương Province,262628
Bình Phước Province,129452
Bình Thuận Province,142955
Bình Định Province,266964
Bạc Liêu Province,70228
Bắc Giang Province,393786
Bắc Kạn Province,75537
Bắc Ninh Province,283657
Bến Tre Province,61849
Cao Bằng Province,81288
Cà Mau Province,115902
Cần Thơ,132019
Da Nang,154329
Gia Lai Province,183837
Haiphong,379588
Ho Chi Minh City,1214470
Hà Giang Province,111054
Hà Nam Province,151236
Hà Tĩnh Province,318898
Hòa Bình Province,150436
Hưng Yên Province,164645
Hải Dương Province,374107
Hậu Giang Province,31541
Khánh Hòa Province,145482
Kiên Giang Province,110915
Kon Tum Province,68047
Lai Châu Province,34644
Long An Province,107761
Lào Cai Province,109443
Lâm Đồng Province,172051
Lạng Sơn Province,140239
Nam Định Province,248628
Nghệ An Province,692170
Ninh Bình Province,152432
Ninh Thuận Province,77449
Phú Thọ Province,422853
Phú Yên Province,91835
Quảng Bình Province,161683
Quảng Nam Province,155420
Quảng Ngãi Province,186582
Quảng Ninh Province,230327
Quảng Trị Province,133012
Sóc Trăng Province,78765
Sơn La Province,137843
Thanh Hóa Province,648112
Thái Bình Province,322617
Thái Nguyên Province,260140
Thừa Thiên–Huế Province,368832
Tiền Giang Province,106871
Trà Vinh Province,71554
Tuyên Quang Province,350802
Tây Ninh Province,89012
Unknown,≤100
Vĩnh Long Province,46104
Vĩnh Phúc Province,209861
Yên Bái Province,192204
Điện Biên Province,89493
Đắk Lắk Province,234876
Đắk Nông Province,90982
Đồng Nai Province,386795
Đồng Tháp Province,75297
