Location name,Amount spent (PYG)
Alto Paraguay Department,2503
Alto Paraná Department,133317
Amambay Department,20580
Asunción,177436
Boquerón department,7255
Caaguazú Department,64515
Caazapá Department,13323
Canindeyú Department,23783
Central Department,574291
Concepción Department (Paraguay),24718
Cordillera Department,71401
Guairá Department,27516
Itapúa Department,75215
Misiones Department,201778
Paraguarí Department,28340
Presidente Hayes Department,11591
San Pedro Department,32463
Unknown,≤100
Ñeembucú Department,51691
