Location name,Amount spent (CAD)
Alberta,16868
British Columbia,17369
Manitoba,2981
New Brunswick,2223
Newfoundland and Labrador,1343
Northwest Territories,171
Nova Scotia,1737
Nunavut,209
Ontario,26033
Prince Edward Island,356
Quebec,17926
Saskatchewan,2007
Unknown,≤100
Yukon,215
