Location name,Amount spent (COP)
Amazonas,378
Antioquia,3326533
Arauca,89917
Atlantico,647784
Bolivar,195823
Boyaca,68214
Caldas,305497
Caqueta,11059
Casanare,22482
Cauca,197665
Cesar,46532
Choco,6958
Cordoba,128892
Cundinamarca,535168
Distrito Especial,2093550
Guainia,223
Guaviare,3261
Huila,187631
La Guajira,27049
Magdalena,103737
Meta,167464
Narino,67025
Norte de Santander,392673
Putumayo,46528
Quindio,113507
Risaralda,1043139
San Andres y Providencia,2908
Santander,444035
Sucre,166976
Tolima,164021
Unknown,186
Valle del Cauca,3664521
Vaupes,102
Vichada,333
