Location name,Amount spent (TWD)
Changhua,7496
Chiayi,1909
Hsinchu,4057
Hsinchu City,6716
Hualien,2638
Kaohsiung,29255
Keelung City,3414
Kinmen,493
Lienchiang,≤100
Miaoli,3635
Nantou,2840
New Taipei City,47780
Penghu,781
Pingtung,5788
Taichung,30432
Tainan,18045
Taipei,36315
Taitung,1740
Taoyuan City,36009
Unknown,4101
Yilan,3075
Yunlin,4317
