Location name,Amount spent (PLN)
Greater Poland Voivodeship,5669
Kuyavian-Pomeranian Voivodeship,3274
Lesser Poland Voivodeship,5230
Lower Silesian Voivodeship,5676
Lublin Voivodeship,2186
Lubusz Voivodeship,2139
Masovian Voivodeship,9243
Opole Voivodeship,1425
Podkarpackie Voivodeship,2424
Podlaskie Voivodeship,1129
Pomeranian Voivodeship,3261
Silesian Voivodeship,6233
Unknown,≤100
Warmian-Masurian Voivodeship,1714
West Pomeranian Voivodeship,2843
Łódź Voivodeship,5004
Świętokrzyskie Voivodeship,1606
