Location name,Amount spent (HUF)
Baranya County,125221
Borsod-Abaúj-Zemplén County,163499
Budapest,1010219
Bács-Kiskun County,149140
Békés County,103120
Csongrád County,152752
Fejér County,160335
Győr-Moson-Sopron County,151421
Hajdú-Bihar County,174889
Heves County,91739
Jász-Nagykun-Szolnok County,117110
Komárom-Esztergom County,147619
Nógrád County,51594
Pest County,684172
Somogy County,87356
Szabolcs-Szatmár-Bereg County,134868
Tolna County,62831
Unknown,2207
Vas County,80777
Veszprém County,102796
Zala County,81711
