Location name,Amount spent (SEK)
Blekinge County,4239
Dalarna County,8154
Gotland County,1786
Gävleborg County,9403
Halland County,8044
Jämtland County,4332
Jönköping County,9932
Kalmar County,6024
Kronoberg County,4906
Norrbotten County,7744
Skåne County,40630
Stockholm County,75867
Södermanland County,8139
Unknown,≤100
Uppsala County,12532
Värmland County,7218
Västerbotten County,8671
Västernorrland County,7186
Västmanland County,8534
Västra Götaland County,56664
Örebro County,9337
Östergötland County,13157
